Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Scan Projects,531797,,Trading,162.80,46.72,36.80,53.70,64.68,0.00,-3.91,0.93,0.19,19.96,18.30,0.87,0.08,27.56,96.14,433.95,3.03,0.10,0.03,0.21,0.28,-2.71,208.40,46.59,32.93,7.68,1.15,10.04,208.40,46.59,32.93,7.68,0.76,0.39,0.99,0.88,4.31,4.59,3.84,4.34,0.36,0.99,1.14,0.66,1.75,66.33,38.00,14.33,14.22,5.61,5.67,8800.00,58.86,8.84,0.03,0.01
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,114.97,119.69,44.25,51.81,74.91,0.00,0.00,5.60,0.34,-7.74,-14.15,2.31,-5.22,2.44,-7.74,3.58,2.22,0.20,0.15,-2.34,-5.03,-1.60,,,,,,28.38,,,,,0.88,0.42,,,6.79,0.82,-0.51,,-2.73,-7.02,-17.18,-17.24,-15.96,0.00,47.97,45.05,,,-3.02,137.93,45.02,-8.20,0.21,0.16
Sh. Rama Multi.,532310,SHREERAMA,Packaging,46.70,623.70,28.39,41.72,61.57,0.00,0.00,26.43,0.24,9.03,14.21,14.95,5.04,-0.02,-4.17,48.96,1.12,0.40,0.31,0.75,0.38,0.19,37.99,,,,1.08,185.87,38.01,38.55,30.06,11.22,69.64,105.17,123.55,161.49,55.22,36.97,27.13,38.48,9.81,-0.89,-2.22,27.52,39.70,60.33,9.38,8.66,5.65,5.39,18.01,83.66,1.21,7.98,5.29,4.20
Shantai Indust.,512297,,Trading,60.94,9.14,36.80,70.31,74.40,0.00,0.00,0.00,0.00,-0.81,-0.81,0.13,-0.10,0.00,5.00,62.51,0.87,0.67,0.13,-0.40,-0.67,-0.13,24.72,,,,,6.09,24.72,,,,0.00,0.00,0.00,0.00,7.58,7.57,8.63,6.49,0.04,-0.23,-0.11,-0.72,0.19,90.70,44.22,-36.84,-46.88,51.69,-3.19,186.67,950.00,-0.63,0.10,0.02
Shanthi Gears,522034,SHANTIGEAR,Engineering,525.95,4034.87,43.32,44.63,70.47,0.00,0.00,0.00,0.00,33.47,24.99,90.40,67.05,5.23,-0.60,-8.56,11.78,3.34,2.82,10.72,8.74,2.74,59.30,21.37,21.21,16.82,2.25,573.08,59.30,19.85,20.12,16.09,0.00,0.00,0.00,0.00,253.65,107.54,108.88,161.31,18.06,47.89,95.48,149.44,202.52,47.87,35.49,17.27,16.59,13.22,17.40,18.71,15.79,22.29,25.63,21.66
Shashwat Furnis.,543519,,Miscellaneous,47.00,9.81,33.51,,73.42,0.00,0.00,1.33,0.41,-14.40,-25.00,-0.35,0.21,0.00,7.18,22.20,-1.68,0.29,-1.96,-4.41,1.01,-2.49,,,,,,4.38,,,,,0.00,,,,3.19,0.01,,,-3.00,-3.00,-7.28,,,79.41,,,,,,28.57,18.38,-7.92,0.06,-0.41
Shigan Quantum,,SHIGAN,Auto Ancillaries,119.00,215.75,31.11,27.66,67.79,0.00,-2.13,48.85,0.65,11.60,8.64,7.80,3.86,0.04,2.59,-23.35,4.30,2.34,1.96,2.97,2.24,1.07,-41.04,-25.92,,,1.83,191.65,13.60,15.13,,,8.77,6.89,,,100.76,20.15,13.41,,-17.48,-8.52,-36.15,-35.95,-33.41,66.84,16.67,17.07,,,14.83,1014.29,60.61,12.97,4.25,3.55
Shilchar Tech.,531201,,Electric Equipment,8429.30,6428.86,67.07,59.63,64.01,0.00,0.00,0.00,0.00,74.65,55.53,107.82,43.12,9.46,-2.80,221.18,141.37,42.91,31.44,120.48,56.74,31.99,154.90,63.87,33.28,36.30,0.93,460.94,155.20,63.99,33.35,36.34,8.15,16.02,4.08,20.53,198.82,36.36,34.63,20.55,66.33,33.73,91.23,106.62,89.64,62.98,49.91,27.37,20.25,14.73,33.66,56.37,36.88,43.98,32.73,23.98
Shine Fashions,543244,,Trading,406.80,118.70,36.80,21.20,71.47,0.00,0.00,0.42,0.03,53.98,47.48,5.68,0.97,-0.46,17.91,184.87,20.01,11.47,8.54,13.97,3.15,5.43,157.19,,,,,68.10,157.13,,,,0.71,,,,16.70,5.65,,,1.03,-1.20,-0.07,,,86.75,98.89,,,,,137.29,108.96,26.93,3.29,2.39
Shiva Mills,540961,SHIVAMILLS,Textiles - Spinning - Synthetic / Blended,100.70,87.02,19.94,,74.94,0.00,0.00,11.75,0.12,-3.48,-3.74,-2.04,-7.16,0.60,4.04,0.70,-2.36,-0.83,-0.98,-3.76,-8.29,-1.04,,,,,,175.05,,,,,3.83,53.56,67.48,,42.94,26.50,57.37,55.31,-20.11,18.95,-5.18,52.27,80.70,77.83,4.36,-2.07,-1.03,,3.40,79.90,21.02,2.09,-0.72,-0.85
Shri Vasuprada,538092,,Tea,130.00,107.70,22.95,,74.89,0.00,0.00,60.98,0.52,-7.17,-17.65,-2.27,-10.78,-4.24,-11.62,64.56,-2.76,5.29,-9.78,-8.00,-13.04,-1.92,,2.64,-4.29,,,114.24,,2.67,-4.24,,93.52,50.01,81.57,45.85,22.94,15.52,-1.48,33.75,-14.46,-8.84,-19.05,-46.30,-45.43,7.32,0.23,1.32,1.86,2.07,-15.31,37.15,7.20,-16.35,4.38,-8.10
Siddhika Coatins,,SIDDHIKA,Miscellaneous,202.10,124.88,33.51,18.78,63.09,0.00,0.00,0.00,0.00,22.59,15.67,6.65,3.52,16.15,26.27,102.10,10.75,6.94,3.81,7.16,5.68,3.35,53.67,-36.43,-23.78,-14.39,3.63,44.46,71.00,5.18,9.22,10.12,0.33,0.26,0.25,0.25,21.45,10.47,7.63,5.43,3.56,4.69,11.64,14.15,15.53,33.71,30.59,3.40,7.04,8.21,12.70,56.47,29.62,13.05,4.29,2.36
Sigma Solve,543917,SIGMA,Computers - Software - Medium / Small,353.35,363.16,44.25,20.23,73.22,0.00,0.00,4.07,0.11,52.54,46.75,17.95,15.27,3.59,-4.90,-29.02,17.47,4.00,3.82,15.70,9.63,2.59,70.65,,,,,65.51,70.53,,,,1.22,,,,16.98,13.70,,,5.96,12.72,35.02,40.03,,0.00,45.43,,,,,40.78,7.73,41.23,4.11,3.93
Signpost India,544117,SIGNPOST,Miscellaneous,383.45,2049.54,33.51,37.70,74.32,0.00,-0.68,137.00,0.63,23.45,24.33,54.40,35.25,12.38,25.29,,10.18,2.98,2.10,8.25,,1.21,,,,,,438.26,,,,,,,,,91.63,,,,-45.34,-26.33,,,,0.00,,,,,,29.74,10.90,,15.95,11.23
Sika Interplant,523606,,Engineering,2590.40,1098.33,96.23,49.41,71.72,0.00,0.00,0.00,0.00,25.58,19.39,22.23,8.79,3.46,2.22,85.65,52.50,14.60,12.45,45.66,20.73,11.84,16.28,34.44,37.07,29.95,1.43,126.82,16.28,34.44,37.07,29.95,0.19,1.22,1.77,3.17,31.91,28.11,3.51,3.06,12.85,-3.56,25.08,43.56,52.37,67.19,9.97,18.42,17.54,17.08,17.48,86.03,66.06,17.53,6.18,5.27
SIL Investments,521194,SILINV,Finance & Investments,680.00,720.80,23.67,21.86,63.79,0.00,0.00,0.00,0.00,2.07,1.51,33.66,28.61,4.06,-2.45,60.79,31.12,15.41,3.28,27.77,26.50,12.17,13.17,8.04,6.41,9.48,2.72,58.69,13.17,8.04,6.41,9.48,0.00,0.00,72.10,90.00,63.51,66.99,7.25,150.02,-2.23,99.89,45.87,52.17,44.18,0.00,21.47,14.68,6.66,5.92,1.90,12.33,19.65,1.56,16.76,3.58
Silicon Rental,543615,,Miscellaneous,275.10,282.58,33.51,21.70,74.13,0.00,0.46,13.92,0.20,29.17,22.60,13.02,10.67,2.21,7.73,19.82,12.68,7.06,5.62,12.56,10.39,6.94,-83.37,-54.48,,,0.26,93.92,67.79,82.20,,,5.48,3.66,,,28.99,0.21,-0.80,,-4.30,-9.84,-19.74,-18.54,,27.15,66.31,49.75,,,33.72,5.17,119.18,32.51,7.25,5.77
Silver Touch,543525,SILVERTUC,Computers - Software - Medium / Small,720.35,913.48,44.25,48.82,74.36,1.49,0.00,34.68,0.29,19.69,15.18,18.71,9.71,2.83,7.27,3.56,14.75,3.47,2.62,12.66,7.66,2.85,151.72,8.40,8.06,,5.81,263.77,151.72,8.40,21.46,,0.53,8.31,16.89,,98.16,60.38,56.96,35.40,-10.13,-4.65,-13.41,-6.60,-12.48,14.41,13.79,1.25,8.97,,8.75,64.99,42.45,11.52,4.40,3.32
Siyaram,544047,,Mining / Minerals / Metals,151.00,329.02,38.18,30.02,61.14,0.00,-9.68,70.94,0.84,13.51,12.23,10.96,7.17,4.14,-1.72,67.76,5.83,4.09,1.74,4.00,5.19,3.08,57.26,,,,,443.60,74.30,,,,29.32,,,,147.37,56.99,,,-4.81,-35.60,-32.13,,,90.28,43.90,,,,,285.92,-9.52,12.68,7.68,3.28
Siyaram Silk,503811,SIYSIL,Textiles - Processing,949.70,4308.80,29.50,22.25,67.44,0.00,0.00,260.27,0.22,20.50,16.26,193.68,251.82,8.77,14.57,78.99,42.69,15.08,2.65,40.70,53.73,13.10,238.30,13.12,11.47,11.07,1.80,2062.29,234.65,12.38,10.94,10.70,139.30,444.32,304.61,314.02,933.65,376.85,681.71,462.15,78.05,192.05,240.03,718.90,700.46,47.57,24.27,2.84,4.15,4.92,15.80,-8.53,-3.40,21.28,68.40,12.02
Sizemasters Tech,513496,,Auto Ancillaries,149.75,149.75,31.11,64.83,64.86,0.00,0.00,12.24,0.92,14.24,14.73,2.42,0.12,15.19,-1.38,86.88,2.32,1.02,0.51,1.79,0.12,0.80,,,,,,12.87,,,,,,,,,24.47,,,,-0.48,0.11,,,,56.91,,,,,,165.52,82.29,,1.03,0.50
Skipper,538562,SKIPPER,Engineering,556.50,6259.94,45.23,58.39,66.48,0.00,0.00,763.42,0.80,20.33,9.02,107.21,32.71,1.41,-9.49,136.46,9.50,3.01,2.80,6.61,2.90,1.68,53.99,18.74,-7.03,10.72,3.12,4156.57,53.99,18.74,-6.99,10.76,439.78,523.05,435.99,439.50,979.49,496.65,654.24,485.00,97.85,201.09,275.77,539.22,663.97,50.83,27.55,11.90,10.18,12.19,5.37,75.81,71.11,5.90,33.94,31.59
SKP Securities,531169,,Finance & Investments,225.90,153.81,17.16,11.82,74.99,0.00,0.00,11.38,0.24,30.32,22.89,13.01,3.10,10.30,-6.65,189.80,19.11,5.80,4.71,12.70,4.55,2.86,34.63,43.61,24.49,46.62,0.32,39.18,34.69,36.43,15.95,39.50,0.90,0.41,0.91,0.17,54.42,12.43,7.78,4.83,4.09,-1.70,-3.32,-6.81,-0.42,0.00,27.16,20.83,16.30,13.53,13.95,195.01,62.71,17.57,3.95,3.21
Softsol India,532344,,Computers - Software - Medium / Small,297.80,439.66,44.25,21.47,73.47,0.00,0.00,0.00,0.00,5.02,3.02,20.48,0.08,-1.80,0.93,2.98,13.84,8.11,1.76,7.36,0.05,1.64,-7.26,17.77,7.93,6.66,1.45,82.20,-11.09,14.82,5.99,5.32,0.38,0.00,0.00,0.00,5.34,18.22,8.62,15.28,-1.31,0.18,-12.13,1.58,0.62,0.00,23.46,9.83,10.13,2.61,2.48,2.97,4.75,1.58,12.00,2.60
Solar Industries,532725,SOLARINDS,Chemicals,9744.20,88175.32,87.24,87.24,73.14,0.55,0.00,1198.12,0.32,32.47,30.90,1068.97,811.17,-4.31,-10.00,45.36,111.69,31.59,31.66,92.38,83.68,22.12,49.07,28.18,25.82,22.03,3.10,6440.48,49.07,28.18,25.82,22.03,807.56,603.40,501.16,483.61,1741.65,605.03,520.34,416.67,857.56,183.39,1057.96,1241.03,1336.37,52.66,34.12,19.78,21.20,18.92,27.53,25.05,-4.87,30.76,303.78,300.54
Solex Energy,,SOLEX,Electric Equipment,1394.10,1505.97,67.07,71.41,66.15,0.00,-4.51,73.33,0.56,17.92,20.82,21.09,2.71,2.85,-8.07,212.52,20.12,12.11,8.01,8.73,2.71,0.73,49.19,1.72,15.16,,5.99,545.98,74.96,11.93,38.13,,12.10,6.46,1.20,,148.72,39.66,26.72,3.40,-6.08,-41.35,-67.67,-64.35,-64.09,-2.18,66.26,19.67,40.41,,12.30,440.77,133.17,11.55,13.08,8.01
Soma Textiles,521034,SOMATEX,Trading,45.21,149.34,36.80,41.03,74.98,0.00,2.22,1.49,0.01,2.57,1.94,89.49,165.46,-2.46,-20.77,109.31,27.09,20.64,0.36,6.38,50.09,0.18,27.64,15.56,11.25,7.48,2.64,8.12,27.64,15.56,11.25,7.48,118.22,113.88,123.13,198.79,94.01,-71.96,-59.30,-34.48,46.80,178.31,264.45,256.89,257.59,99.65,-23.56,-31.67,-35.79,-32.05,,-26.91,9.29,,68.17,1.20
Source Natural,531398,,Pharmaceuticals - Indian - Bulk Drugs & Formln,195.50,125.84,39.47,49.35,74.37,0.00,0.00,6.30,0.30,18.49,9.52,2.54,2.12,-2.23,-18.51,98.07,3.95,1.30,0.65,2.70,3.29,0.30,-19.40,11.44,3.41,23.73,4.31,33.25,-19.40,11.44,3.41,26.40,0.93,0.16,1.91,0.00,22.55,8.30,4.78,5.08,2.69,2.59,3.38,6.14,8.16,61.47,3.14,16.34,7.99,19.65,16.11,30.10,35.88,12.73,0.84,0.42
Spenta Intl.,526161,,Textiles - Products,162.50,44.92,29.32,32.79,64.71,0.00,0.00,23.58,0.83,6.81,3.97,1.37,1.15,-4.38,-4.92,-5.80,4.96,2.93,-0.29,3.98,4.16,2.50,39.11,-13.41,-5.95,-1.90,-2.45,39.40,39.11,-13.41,-5.95,-3.05,19.15,16.61,7.76,2.76,37.75,23.97,21.75,17.27,3.11,2.93,5.64,6.14,-2.40,44.63,16.37,-4.57,-0.25,-0.68,2.87,38.38,-4.39,5.24,0.81,-0.08
Srivasavi Adhes.,,SRIVASAVI,Packaging,104.20,147.69,28.39,22.04,73.21,0.00,0.00,1.45,0.04,21.57,16.36,6.70,3.62,-1.70,-8.52,-27.61,4.73,3.04,1.69,3.63,2.55,1.94,-38.43,,,5.52,,77.41,38.43,,,38.30,3.95,,,3.84,24.31,4.99,,,-4.56,-2.71,-10.42,-4.94,,72.46,11.89,,,18.80,,46.93,12.71,20.54,4.31,2.39
Starlog Enterp.,520155,,Miscellaneous,49.35,59.07,33.51,83.15,64.44,0.00,0.00,7.27,0.12,1.79,-24.96,25.56,86.03,5.40,2.77,47.18,21.43,20.21,0.20,-1.96,72.05,-1.35,24.43,14.20,9.97,6.85,5.86,11.67,24.43,14.20,9.97,6.85,702.48,633.40,341.81,549.80,31.69,-108.41,-193.64,-157.75,2.73,281.95,333.41,483.72,248.07,0.00,-58.24,-37.03,-25.52,-19.50,,-91.55,-6.49,,24.20,0.19
Steel City Sec.,,STEELCITY,Finance & Investments,115.75,174.86,17.16,10.51,70.86,0.00,0.17,11.28,0.09,13.81,10.32,16.63,11.21,3.64,2.45,51.11,11.01,3.40,2.81,7.85,7.42,1.63,3.91,5.67,13.07,10.60,1.85,66.18,3.91,5.67,13.07,12.82,0.85,0.12,0.04,3.47,93.24,67.95,57.97,52.56,-18.67,2.35,4.90,6.71,31.92,0.00,4.18,-0.41,7.25,8.79,10.87,60.68,19.44,11.41,5.14,4.24
STEL Holdings,533316,STEL,Finance & Investments,423.10,780.85,23.67,49.20,69.15,0.00,1.68,0.00,0.00,1.53,1.14,15.87,12.26,-1.84,-10.74,39.80,8.60,3.10,0.05,7.19,6.64,1.62,15.33,8.10,15.74,17.98,6.07,21.95,15.33,8.10,15.74,17.98,0.00,0.00,0.00,0.00,-1.75,94.17,24.54,19.29,11.98,13.76,40.28,51.45,48.86,0.00,14.59,13.48,14.15,19.15,1.65,21.80,20.27,1.49,5.72,0.09
Stellant Secu.,526071,,Finance & Investments,115.10,8.52,23.67,6.50,62.42,0.00,4.73,0.00,0.00,25.17,48.00,1.31,0.03,10.34,48.40,738.92,17.69,14.45,-0.81,4.86,0.41,0.68,81.71,43.10,51.12,15.97,0.15,1.66,81.71,43.10,51.12,9.51,1.44,1.01,1.01,1.09,1.94,0.01,0.08,0.29,0.26,0.03,0.26,-0.20,-0.21,-12.77,46.33,,-28.50,9.48,-4.47,1355.56,876.47,19.35,1.07,-0.06
Stratmont Indus.,530495,,Trading,137.30,391.28,36.80,257.42,67.58,0.00,0.00,0.34,0.01,9.30,28.23,1.52,0.73,27.48,-28.69,193.88,2.34,0.15,0.13,2.17,2.09,-0.63,374.75,67.98,24.15,21.64,3.79,115.06,374.75,67.98,34.46,15.91,2.29,2.51,3.58,2.79,26.63,3.97,4.14,0.83,-21.51,-5.46,-25.08,-24.95,-25.79,96.60,492.30,2.32,,110.95,20.36,153.33,136.21,28.04,0.44,0.36
Sumitomo Chemi.,542920,SUMICHEM,Pesticides / Agrochemicals - Indian,536.95,26801.63,31.81,55.44,75.00,0.00,0.00,24.27,0.01,20.83,15.33,483.46,503.44,3.50,-3.65,28.64,9.69,3.82,2.57,7.41,10.09,2.88,2.27,,,,3.35,3007.95,2.27,16.54,29.16,27.26,32.64,19.75,0.00,0.00,2062.96,936.57,766.78,286.20,695.32,269.85,1075.90,1641.53,1683.12,57.67,2.34,4.97,19.83,16.13,21.39,31.18,-0.80,20.77,190.84,128.39
Summit Securitie,533306,SUMMITSEC,Finance & Investments,3106.50,3386.64,23.67,29.78,74.65,0.00,0.00,0.00,0.00,1.39,1.07,107.14,37.06,3.88,-4.06,140.66,98.28,68.93,2.70,69.47,33.99,35.15,60.55,17.05,42.02,19.25,1.75,165.05,60.55,17.05,42.02,19.25,0.00,0.00,0.06,0.00,45.45,2.99,3.35,7.60,36.12,37.91,120.53,198.60,225.50,0.00,52.25,21.66,52.17,21.25,1.10,103.14,120.01,0.99,75.15,2.94
Sungarner Energ.,,SEL,Electric Equipment,527.10,122.22,67.07,75.44,61.49,0.00,0.00,7.55,0.73,17.19,16.31,1.62,0.74,-10.64,-10.87,96.75,6.99,3.54,3.45,4.49,4.41,1.08,9.24,,,,,22.51,86.63,,,,1.04,,,,14.84,0.73,,,-6.15,-2.57,-9.82,-9.72,,54.43,48.79,,,,,102.50,40.69,23.51,0.82,0.80
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,772.50,6217.30,39.47,39.47,68.30,0.00,0.00,5.51,0.01,22.15,15.73,157.51,89.86,9.80,-0.61,146.02,19.57,5.73,5.55,14.80,11.17,2.97,-4.30,-11.29,21.13,,1.59,624.98,-1.22,24.75,54.53,,72.19,89.84,140.09,,338.21,189.58,74.96,65.56,-32.35,-44.30,-87.67,32.95,109.64,38.88,13.39,15.47,17.56,,25.50,57.29,20.30,19.43,46.15,44.64
Surbhi Industrie,514260,,Textiles - Processing,7.15,2.46,29.50,0.94,71.83,0.00,2.07,11.70,0.72,0.13,-11.29,2.61,0.09,0.00,4.99,,7.59,7.91,-0.99,-4.65,0.26,-1.54,,,,,,26.70,,,,,4.23,9.79,16.57,10.08,11.41,9.24,6.02,5.76,2.95,0.56,-6.81,-0.50,7.04,58.17,-0.32,-1.67,-2.15,-6.59,5.22,171.90,31.79,-0.91,2.72,-0.34
Swastika Investm,530585,,Finance & Investments,190.15,281.39,17.16,13.49,63.25,0.00,0.00,21.94,0.24,27.12,18.00,20.86,6.15,7.07,9.41,83.31,14.09,4.89,4.24,8.30,4.16,2.16,2.96,21.72,8.94,32.62,0.62,142.97,2.96,21.72,8.94,32.62,25.36,48.41,26.96,19.17,58.03,25.58,28.20,31.13,-23.46,-21.45,-40.89,-15.39,-54.67,1.99,14.44,20.80,16.42,18.76,17.76,178.50,49.63,17.06,7.23,6.27
Systematix Corp.,526506,,Finance & Investments,182.95,2497.96,23.67,35.18,70.56,0.00,-3.67,29.18,0.17,48.35,42.44,71.00,5.08,-8.20,-29.63,178.84,5.47,1.71,0.13,4.11,0.39,0.14,243.18,79.77,43.34,39.30,0.44,166.80,243.18,79.77,43.34,39.15,35.72,96.60,136.35,92.89,147.60,63.05,44.17,170.99,75.25,-15.57,109.55,219.69,250.80,0.00,38.48,21.04,19.33,14.16,15.73,515.25,122.52,24.59,22.14,1.74
TajGVK Hotels,532390,TAJGVK,Hotels,445.60,2793.98,38.46,33.90,74.99,0.00,0.00,90.61,0.16,18.81,14.79,82.42,79.82,15.92,24.68,84.32,13.14,3.13,2.03,11.87,12.73,1.78,69.07,25.39,34.27,35.70,1.34,424.95,69.07,25.39,34.27,35.70,224.64,196.86,254.96,231.90,47.86,-13.57,-50.58,-43.61,85.86,81.89,221.27,297.40,406.16,8.91,63.02,5.18,6.39,5.28,7.59,46.92,8.95,12.37,19.65,12.71
Taparia Tools,505685,,Castings & Forgings,9.64,14.63,30.31,0.12,69.72,0.00,0.00,1.61,0.00,43.95,32.84,117.96,72.32,0.00,4.90,215.03,77.71,20.27,19.81,65.73,47.58,15.58,26.56,32.64,36.54,23.27,0.00,863.28,26.50,32.60,36.51,23.26,0.98,0.00,8.03,23.05,311.92,162.10,110.18,78.42,116.43,82.95,231.13,275.34,284.06,58.71,15.62,11.95,12.11,12.03,28.14,47.88,9.47,30.02,30.76,30.07
Tara Chand Infra,,TARACHAND,Diversified - Medium / Small,59.76,471.06,22.09,22.00,69.61,0.00,-0.01,85.23,0.90,16.31,18.14,21.41,9.36,-8.20,-26.31,70.40,2.81,0.92,0.59,2.13,1.37,0.38,63.06,23.44,22.32,,0.84,192.67,68.98,26.11,31.15,,105.30,51.31,41.43,,49.47,67.36,39.30,21.95,-9.47,15.98,27.62,-11.43,-34.85,7.67,16.00,11.27,18.70,,10.02,86.99,22.81,9.62,7.22,4.54
Teerth,,TGL,Construction,610.25,732.28,25.63,41.49,64.34,0.00,0.00,16.18,0.22,75.31,84.13,17.65,1.70,5.12,16.17,,18.10,7.93,10.16,14.45,3.40,6.84,150.43,,,,,135.55,192.91,,,,9.34,,,,70.52,12.57,,,-8.85,16.43,3.37,,,72.65,31.45,,,,,285.37,178.74,49.85,9.52,8.13
Terai Tea Co,530533,,Trading,172.65,118.78,36.80,7.03,73.73,0.00,0.25,32.57,0.20,2.48,1.45,16.90,1.31,0.15,3.63,88.54,24.57,13.16,7.28,4.49,1.90,0.57,-8.65,-7.06,0.68,,-1.00,135.57,-8.65,-7.06,0.68,,24.83,33.38,39.29,,67.63,24.81,29.69,30.10,-8.87,23.48,38.09,61.17,69.63,84.65,14.79,-5.15,-2.53,,1.84,542.59,67.68,1.42,9.05,5.01
TGV Sraac,507753,,Chlor Alkali / Soda Ash,107.85,1154.96,23.27,21.63,63.17,0.28,0.00,376.75,0.33,5.12,2.96,68.99,361.62,1.65,-7.46,0.56,6.44,3.07,1.28,5.67,33.77,1.74,3.21,-17.95,6.52,2.15,-1.33,1577.34,3.21,-16.24,9.69,5.88,498.97,327.84,476.30,332.18,333.54,209.73,153.47,77.27,-79.44,260.45,222.96,194.42,379.66,29.27,15.29,5.12,7.91,7.23,16.21,-62.53,-16.82,19.96,32.90,13.71
Thakkers Develp.,526654,,Construction,187.10,168.39,35.07,158.86,71.31,0.00,0.00,31.41,0.21,-0.22,-0.66,1.06,16.15,-5.51,-8.24,11.04,1.18,3.20,-0.37,-1.06,17.94,0.06,,,,,,29.92,,,,,2.64,32.12,30.39,,126.01,98.34,95.70,89.79,12.26,-12.57,-6.04,16.24,15.62,23.17,3.74,10.85,-4.23,,12.04,-82.21,-44.18,12.46,2.88,-0.33
The Invest.Trust,530023,THEINVEST,Finance & Investments,193.30,1009.84,23.67,23.87,72.12,0.00,0.00,302.32,0.44,6.63,2.86,44.08,11.57,-2.42,-8.21,51.37,8.10,3.90,2.37,3.55,2.20,1.98,6.81,-12.46,-6.19,19.99,-1.98,335.31,7.30,-12.05,-5.88,27.58,284.43,642.31,367.22,189.55,702.77,570.02,886.98,471.72,-215.76,-107.99,-27.30,533.95,220.43,8.18,-3.36,-13.92,8.76,18.49,1.32,88.25,20.02,1.69,20.42,12.91
Thermax,500411,THERMAX,Electric Equipment,4139.70,49327.13,77.76,77.76,61.98,0.00,0.00,1475.39,0.32,16.93,14.15,732.06,450.70,-5.62,-12.22,28.97,62.23,16.54,9.72,54.15,37.79,13.24,33.81,9.53,14.48,10.93,8.16,9884.04,33.81,9.53,14.48,10.93,327.89,240.26,135.73,761.39,2051.05,1567.32,493.25,218.33,-471.23,-190.38,-420.68,543.01,606.18,55.98,24.85,9.31,11.03,6.26,10.38,19.38,14.99,12.03,198.00,109.42
Tilak Ventures,503663,,Trading,3.61,160.90,36.80,21.60,61.98,0.00,9.00,0.00,0.00,9.45,7.21,7.45,2.43,1.98,-10.20,7.44,0.17,0.05,0.04,0.12,0.05,0.02,59.32,32.24,25.36,36.22,0.67,18.14,58.84,32.12,25.26,36.10,2.38,2.25,2.03,0.00,81.87,15.24,15.03,19.01,1.61,7.34,13.06,11.86,12.20,39.16,48.89,-5.52,14.25,8.43,4.10,72.06,29.02,4.30,2.08,1.74
Timex Group,500414,,Miscellaneous,202.25,2041.71,45.82,79.04,74.93,0.00,0.00,8.88,0.10,33.40,,25.83,46.52,0.80,-3.64,19.64,2.56,1.76,0.24,2.06,4.61,1.09,66.32,22.63,35.51,10.16,3.49,469.01,66.32,22.63,35.51,10.16,91.34,102.97,25.14,58.20,89.28,14.79,43.21,25.63,30.90,8.42,20.53,50.51,51.04,58.17,43.79,11.63,11.13,12.98,,-16.54,17.08,,17.81,2.43
Tips Music,532375,TIPSMUSIC,Entertainment / Electronic Media Software,735.15,9397.54,36.52,61.77,64.15,0.00,-0.01,4.12,0.02,103.80,79.41,152.13,76.52,-7.51,-18.45,99.50,11.88,3.77,3.41,9.90,5.96,3.09,43.22,136.22,73.36,27.37,0.47,282.62,42.75,131.14,70.68,25.54,0.00,8.47,64.24,132.82,184.97,102.47,43.54,78.32,230.29,80.36,339.52,412.04,489.42,0.00,38.70,3.52,26.34,8.83,58.71,44.51,30.55,70.14,48.16,43.56
Titan Securities,530045,,Finance & Investments,41.73,104.41,23.67,9.57,73.95,0.00,0.00,0.00,0.00,1.48,11.86,10.91,13.72,-0.12,-6.08,57.83,4.36,1.48,1.13,4.03,5.48,1.23,0.51,50.50,21.42,,0.19,9.26,0.51,50.50,21.42,,0.00,0.06,15.87,,14.70,18.71,14.27,30.35,0.34,2.56,4.15,-1.58,-9.74,80.71,-47.08,30.63,-26.00,,18.40,5.92,184.92,18.94,3.70,2.82
TPL Plastech,526582,TPLPLASTEH,Packaging,105.90,826.05,28.39,37.91,74.86,0.00,0.00,27.60,0.21,19.01,15.85,21.79,16.03,3.64,0.39,97.57,2.79,0.69,0.57,2.54,2.06,0.55,34.48,11.53,8.23,10.48,3.29,331.50,34.48,11.53,8.23,10.48,28.56,58.26,36.70,42.85,72.71,61.58,65.56,44.07,19.04,-11.65,26.01,71.50,67.54,79.24,22.44,7.40,8.21,5.13,13.27,30.01,14.93,14.55,5.36,4.48
