Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Industry PE,Price to Earning,Promoter holding,Pledged percentage,Change in promoter holding,Debt,Debt to equity,Return on capital employed,Return on equity,Net profit,Net Profit preceding year,Return over 1week,Return over 1month,Return over 1year,EPS,EPS latest quarter,EPS preceding quarter,EPS last year,EPS preceding year,EPS preceding year quarter,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,Sales,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Working capital,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Free cash flow last year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Material cost last year,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,Average return on equity 5Years,Profit growth,Sales growth,Average return on equity 3Years,Net Profit latest quarter,Net Profit preceding quarter
Iykot Hitech,522245,,Engineering,17.85,10.86,43.32,,74.11,0.00,0.00,0.01,0.00,-58.58,-87.02,-1.83,-1.13,5.00,14.64,83.26,-0.90,-0.03,-0.28,-0.98,-0.56,-0.19,,,,,,3.82,,,,,0.00,0.00,0.37,0.52,2.08,2.48,2.26,1.99,-1.86,-0.38,-1.57,-1.78,-0.81,84.96,-40.23,-31.50,-21.25,-16.67,-15.38,-18.06,189.39,-28.12,-0.07,-0.56
J J Finance Corp,523062,,Finance & Investments,44.01,12.41,23.67,17.00,60.44,0.00,0.31,0.00,0.00,5.19,4.00,0.73,0.08,3.19,10.00,156.62,2.59,1.24,0.21,1.31,0.28,0.07,12.48,9.04,1.65,12.90,1.88,1.28,12.48,9.04,1.65,12.90,0.01,0.00,0.00,0.00,0.69,2.81,1.97,3.24,-0.44,-0.14,-0.66,-1.05,-0.66,0.00,8.81,5.19,2.72,7.18,2.24,1116.67,204.76,2.17,0.35,0.06
J.G.Chemicals,544138,JGCHEM,Chemicals,406.90,1594.48,35.13,28.98,70.99,0.00,0.00,12.88,0.03,13.63,10.37,57.30,56.79,-0.72,-6.59,,14.65,4.21,3.88,7.88,17.32,1.18,-64.91,,,,,757.29,11.53,,,,74.45,,,,398.42,159.58,,,66.52,21.30,85.89,108.67,,82.57,15.32,,,,,-42.09,-14.88,20.34,17.15,15.91
Jagsonpal Pharma,507789,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,656.05,1741.55,39.47,65.08,67.97,0.00,-0.07,9.82,0.05,16.99,12.97,24.30,26.72,2.56,-6.26,64.22,9.19,4.33,2.01,8.50,10.20,2.85,9.27,25.25,58.99,26.51,2.55,226.85,9.60,25.48,59.18,26.62,6.79,3.79,7.93,35.95,93.42,83.62,73.15,88.60,34.92,47.64,89.00,128.62,153.75,38.32,3.55,4.58,5.46,3.79,14.08,-5.58,-2.88,15.56,11.46,5.33
Jai Corp,512237,JAICORPLTD,Plastics Products,225.55,4024.93,36.11,60.45,73.79,0.00,0.00,0.00,0.00,3.85,3.39,66.25,-13.57,-29.13,-41.95,-42.25,3.71,0.96,0.77,2.94,-0.76,0.65,13.81,50.63,39.34,-8.01,1.19,485.92,13.81,50.63,39.34,-8.01,329.60,579.60,922.99,42.05,431.81,432.50,37.56,-427.21,51.17,70.24,220.21,381.82,490.93,69.51,-0.60,-6.14,-5.63,-4.68,-0.04,103.79,-0.43,-1.52,17.11,13.73
Jainam Ferro,,JAINAM,Mining / Minerals / Metals,228.25,241.06,11.85,26.99,73.47,0.00,0.00,0.00,0.00,9.68,6.28,8.93,23.25,11.18,26.81,82.02,8.46,7.95,0.50,5.75,22.01,5.24,18.97,12.91,,,1.70,204.64,24.30,15.92,,,2.85,5.21,,,51.38,17.34,18.84,,-8.55,-3.09,-16.10,-10.52,,63.34,23.16,7.59,,,24.02,6.69,8.10,26.70,8.40,0.53
James Warren Tea,538564,,Tea,398.60,147.48,22.95,4.32,68.61,0.00,0.00,0.00,0.00,1.61,1.99,34.11,9.49,-0.75,-1.40,52.02,92.19,101.51,26.22,5.08,21.57,44.81,-44.05,3.24,,-11.32,-0.31,148.89,-50.19,-14.14,,-21.16,0.00,0.00,0.00,0.00,73.60,2.31,-8.28,6.66,-16.66,-0.48,-9.53,28.98,34.69,2.59,-3.13,-4.19,-0.55,-1.96,7.59,429.25,24.16,6.62,37.56,9.70
Jeena Sikho,,JSLL,Pharmaceuticals - Indian - Formulations,2360.60,5868.49,39.32,69.65,65.84,0.00,-2.07,0.44,0.00,57.94,42.68,84.26,33.74,10.38,5.88,277.70,33.89,18.86,15.04,27.84,13.55,12.78,-62.54,-38.08,,,1.12,381.18,86.93,62.44,,,12.03,15.62,,,135.46,13.69,10.84,,22.83,-12.91,9.22,23.92,,6.71,33.66,25.15,,,42.65,55.00,38.74,41.37,46.88,37.38
JFL Life,,JFLLIFE,Pharmaceuticals - Indian - Formulations,30.75,101.46,39.32,17.89,67.47,0.00,0.00,10.49,0.27,11.47,9.76,5.67,2.81,-4.95,-6.82,111.34,1.72,1.02,0.70,1.00,0.85,0.40,-29.33,-15.35,,,0.29,76.36,83.01,61.64,,,16.82,8.41,,,36.73,15.33,10.97,,2.26,-8.83,-5.94,-13.10,,83.46,12.41,7.93,,,12.92,81.73,72.49,13.78,3.36,2.31
Jindal Photo,532624,JINDALPHOT,Finance & Investments,889.30,912.27,23.67,2.55,74.20,0.00,0.00,56.98,0.02,12.34,12.49,358.31,167.16,-4.05,2.58,39.98,347.87,121.06,46.04,257.82,162.29,44.49,294.81,125.37,143.19,17.52,0.02,20.85,294.81,125.37,143.19,17.52,57.47,48.37,66.40,4361.96,32.74,34.11,32.40,37.94,-0.38,-0.51,-1.25,-1.85,-2.13,0.00,280.11,97.28,,-23.95,21.12,106.10,139.38,21.50,124.69,47.42
Jindal Saw,500378,JINDALSAW,Steel - Large,284.60,18200.40,19.51,9.66,63.28,0.00,0.00,5525.88,0.51,21.38,17.73,1884.54,451.79,-4.97,-10.91,26.60,30.90,7.81,6.90,26.22,10.07,5.90,71.09,26.72,81.89,27.60,0.36,21592.25,71.09,26.72,81.89,29.17,5334.79,5692.29,6221.90,5988.98,6071.80,3032.30,3313.30,3051.72,1741.28,1379.46,2841.68,5121.83,6569.69,57.98,25.26,11.58,16.79,12.15,8.76,81.07,6.77,10.23,475.31,416.43
Joindre Capital,531861,,Finance & Investments,54.90,75.98,17.16,7.86,63.68,0.00,0.00,13.19,0.17,13.21,2.23,3.70,3.08,0.68,-11.14,2.48,2.67,2.36,1.93,0.35,2.23,1.32,-20.96,-8.35,-15.85,-2.00,-0.94,51.90,-20.96,-8.35,-15.85,-2.00,9.50,0.00,0.00,0.00,56.29,63.56,53.13,8.48,12.56,-26.80,-4.81,17.07,17.36,0.00,13.75,12.26,7.84,9.20,4.62,138.77,65.97,5.22,3.26,2.67
JSW Holdings,532642,JSWHL,Finance & Investments,17765.40,19719.59,23.67,82.09,66.29,0.00,0.01,0.00,0.00,0.70,0.69,240.22,331.50,22.12,20.36,251.74,216.42,107.79,47.37,140.15,298.66,56.94,27.41,9.24,18.22,,8.88,243.69,27.41,9.24,18.22,,0.00,0.00,0.00,,11.39,11.71,20.59,12.97,114.99,298.39,543.66,714.37,869.32,0.00,22.25,9.58,15.10,,1.08,51.12,47.01,1.09,119.64,52.58
Jyoti CNC Auto.,544081,JYOTICNC,Engineering,1370.00,31156.96,43.32,113.51,62.54,1.79,-0.01,250.26,0.17,21.22,20.83,274.48,-5.46,0.10,0.48,,12.39,3.34,2.24,6.63,-1.66,0.86,31.09,58.19,,,0.88,1620.56,58.09,129.01,,,721.85,578.66,,,1247.61,423.79,458.34,,-162.54,8.06,-156.49,-153.42,,50.33,36.00,6.76,,,-6.54,1136.95,35.61,9.24,75.88,50.92
Kabsons Industri,524675,,Trading,33.03,57.68,36.80,24.97,68.01,0.00,-0.02,0.32,0.02,14.89,14.85,3.13,0.79,5.90,-12.48,86.72,1.79,0.87,0.33,1.49,0.45,0.58,47.42,15.92,23.91,44.34,1.57,34.60,47.42,15.92,23.91,44.34,0.00,0.00,0.10,8.37,1.75,1.34,0.74,1.05,-0.53,0.17,0.72,0.79,1.51,81.48,65.54,21.62,31.56,29.02,12.51,8.96,62.98,13.49,1.52,0.58
